,line,word,char,name
,2,2,25,r/cleaned/text_data_2020-09-26.csv
,7827,187071,1334469,r/cleaned/text_data_2020-09-27.csv
,8073,188894,1347132,r/cleaned/text_data_2020-09-28.csv
,2,2,25,r/cleaned/text_data_2020-09-29.csv
,2,2,25,r/cleaned/text_data_2020-09-30.csv
,2,2,25,r/cleaned/text_data_2020-10-01.csv
,7553,181904,1303894,r/cleaned/text_data_2020-10-02.csv
,7979,195483,1395275,r/cleaned/text_data_2020-10-03.csv
,1056,24806,177495,r/cleaned/text_data_2020-10-04.csv
,2,2,25,r/cleaned/text_data_2020-10-05.csv
,10928,240245,1715602,r/cleaned/text_data_2020-10-06.csv
,2,2,25,r/cleaned/text_data_2020-10-07.csv
,8393,187309,1343512,r/cleaned/text_data_2020-10-08.csv
,7509,159140,1137807,r/cleaned/text_data_2020-10-09.csv
,6492,153263,1101932,r/cleaned/text_data_2020-10-10.csv
,8729,183198,1314612,r/cleaned/text_data_2020-10-11.csv
,8060,165260,1189290,r/cleaned/text_data_2020-10-12.csv
,2,2,25,r/cleaned/text_data_2020-10-13.csv
,2,2,25,r/cleaned/text_data_2020-10-14.csv
,7770,162405,1168968,r/cleaned/text_data_2020-10-15.csv
,2,2,25,r/cleaned/text_data_2020-10-16.csv
,2,2,25,r/cleaned/text_data_2020-10-17.csv
,2,2,25,r/cleaned/text_data_2020-10-18.csv
,7137,149783,1074833,r/cleaned/text_data_2020-10-19.csv
,8692,193768,1387918,r/cleaned/text_data_2020-10-20.csv
,2,2,25,r/cleaned/text_data_2020-10-21.csv
,2,2,25,r/cleaned/text_data_2020-10-22.csv
,10398,240044,1702064,r/cleaned/text_data_2020-10-23.csv
,10685,233454,1667499,r/cleaned/text_data_2020-10-24.csv
,2,2,25,r/cleaned/text_data_2020-10-25.csv
,11004,258718,1840200,r/cleaned/text_data_2020-10-26.csv
,7220,159891,1146817,r/cleaned/text_data_2020-10-27.csv
,11015,247206,1762599,r/cleaned/text_data_2020-10-28.csv
,10031,214360,1553287,r/cleaned/text_data_2020-10-29.csv
,9484,214464,1528021,r/cleaned/text_data_2020-10-30.csv
,11068,261343,1854188,r/cleaned/text_data_2020-10-31.csv
,8023,191454,1361868,r/cleaned/text_data_2020-11-01.csv
,9145,202854,1453378,r/cleaned/text_data_2020-11-02.csv
,7489,162606,1152725,r/cleaned/text_data_2020-11-03.csv
,4120,87057,622298,r/cleaned/text_data_2020-11-04.csv
,2,2,25,r/cleaned/text_data_2020-11-05.csv
,2135,47369,338775,r/cleaned/text_data_2020-11-06.csv
,6679,155768,1099120,r/cleaned/text_data_2020-11-07.csv
,6592,161735,1150836,r/cleaned/text_data_2020-11-08.csv
,930,21215,149634,r/cleaned/text_data_2020-11-09.csv
,2,2,25,r/cleaned/text_data_2020-11-10.csv
,2,2,25,r/cleaned/text_data_2020-11-11.csv
,2,2,25,r/cleaned/text_data_2020-11-12.csv
,2,2,25,r/cleaned/text_data_2020-11-13.csv
,2,2,25,r/cleaned/text_data_2020-11-14.csv
,1998,50069,358688,r/cleaned/text_data_2020-11-15.csv
,4125,94989,681545,r/cleaned/text_data_2020-11-16.csv
,1543,38753,277355,r/cleaned/text_data_2020-11-17.csv
,5841,140641,1001574,r/cleaned/text_data_2020-11-18.csv
,8956,220351,1571787,r/cleaned/text_data_2020-11-19.csv
,10109,236782,1687895,r/cleaned/text_data_2020-11-20.csv
,11624,283642,2008608,r/cleaned/text_data_2020-11-21.csv
