,date,d_s_pos,d_s_neg,total,por_pos,por_neg
0,13-12-2020,0.116473814,0.883526186,9.251482315,-0.667224192,0.589199559
1,27-11-2021,0.117631631,0.882368369,8.983188799,0.362871615,0.023454726
2,26-04-2021,0.138529767,0.861470233,8.890548246,0.02414286,0.978731817
3,20-04-2021,0.136025063,0.863974937,8.636574948,0.564631438,-0.727034411
4,15-09-2020,0.099428408,0.900571592,9.558246986,0.149125491,-0.116103855
5,21-07-2021,0.106932791,0.893067209,9.043813421,0.363507541,0.233968595
6,18-04-2021,0.140895327,0.859104673,8.96903285,-0.088242384,-0.466167346
7,30-06-2021,0.127625131,0.872374869,7.934871566,0.334066604,0.969248078
8,13-11-2020,0,0,0,0,0
9,23-01-2021,0,0,0,0,0
10,03-09-2021,0.097396068,0.902603932,8.619569258,0.050971019,-1.343434669
11,08-08-2021,0.095665697,0.904334303,9.090204571,0.163515482,-0.232807069
12,28-12-2020,0.110857473,0.889142527,9.376532547,-0.153042972,-0.032731985
13,14-04-2021,0.154267039,0.845732961,9.065198986,0.659528312,0.334825294
14,03-07-2020,0.088486311,0.911513689,10.06108941,0.765274377,-0.545047437
15,27-08-2020,0,0,0,0,0
16,02-10-2021,0.133748888,0.866251112,7.826443135,-0.108039339,-0.172768971
17,06-10-2021,0.137596441,0.862403559,8.196987927,-0.374703281,0.035009141
18,28-07-2020,0.089455225,0.910544775,9.971706792,-0.263126704,-0.031380754
19,14-02-2021,0.129969003,0.870030997,8.910315776,-0.321977029,0.570998075
20,06-11-2021,0.138361819,0.861638181,7.861341796,0.234365751,-0.557238047
21,22-09-2020,0.077907611,0.922092389,9.212138754,0.889732965,-0.260940007
22,01-09-2021,0.089423163,0.910576837,8.985445288,-0.238627661,0.255317152
23,28-11-2021,0.121495373,0.878504627,8.895355617,0.389877935,-0.401932076
24,22-06-2020,0.102149161,0.897850839,9.801233318,-0.252874721,0.654954029
25,08-10-2020,0.099795714,0.900204286,9.221972456,0.501361847,-0.474098112
26,29-10-2020,0.106936998,0.893063002,9.336620538,-0.003872488,0.262775037
27,22-06-2021,0.143719918,0.856280082,8.264620829,-0.539895262,0.431021558
28,12-09-2021,0.096224715,0.903775285,8.613593686,0.079231053,-0.294384906
29,29-06-2021,0.105543456,0.894456544,8.730043953,-0.718344131,0.575849712
30,13-06-2021,0.107060884,0.892939116,8.267192186,0.9118259,-1.084257234
31,25-09-2020,0.104319026,0.895680974,9.366916679,0.704718756,0.6438712
32,24-09-2020,0.101321218,0.898678782,8.836955157,-0.223259762,0.325749283
33,08-11-2020,0.104958829,0.895041171,9.183893722,-0.563860178,0.615436292
34,16-09-2020,0,0,0,0,0
35,27-06-2021,0.137450772,0.862549228,8.530701541,-0.240480394,-0.147513927
