,date,new_cases,d_s_pos,d_s_neg,total,por_pos,por_neg,pos_strength,neg_strength
399,24-02-2021,13.012892202328628,0.12526472,0.87473528,8.933796044,-1.134299074,0.583720474,-0.14208765590086928,0.5106008922661227
400,25-02-2021,13.019317957620606,0.0,0.0,0.0,0.0,0.0,0.0,0.0
401,26-02-2021,13.01026018087911,0.161341411,0.838658589,7.736307097,0.153876675,-0.44825901,0.024826679864488423,-0.3759362688331369
402,27-02-2021,12.884225470505765,0.0,0.0,0.0,0.0,0.0,0.0,0.0
403,28-02-2021,12.6410997921206,0.0,0.0,0.0,0.0,0.0,0.0,0.0
404,01-03-2021,12.627397979348936,0.136950753,0.863049247,8.613048677,0.12758049,0.154633922,0.01747224417360897,0.13345668994275672
405,02-03-2021,12.655439799925468,0.144142044,0.855857956,9.111514018,-0.23905084,0.865342253,-0.034457276697516956,0.7406100518930149
406,03-03-2021,13.002768701718676,0.134046369,0.865953631,9.040737588,0.121170453,-0.855914767,0.016242459254735157,-0.741182500310169
407,04-03-2021,13.03096712817114,0.137931611,0.862068389,6.536691598,-0.528679651,0.732255375,-0.07292163596534777,0.631254211462841
408,05-03-2021,13.016740605138022,0.0,0.0,0.0,0.0,0.0,0.0,0.0
409,06-03-2021,12.936440945233308,0.137655395,0.862344605,6.992096427,-2.252653465,0.543694824,-0.3100899025226937,0.46885229824282454
410,07-03-2021,12.828362717993418,0.158466919,0.841533081,8.518592212,0.432986506,-0.273118698,0.06861403757439502,-0.22983841940664854
411,08-03-2021,12.612497293133035,0.138804134,0.861195866,8.911529942,0.335761871,0.60205703,0.04660513573437471,0.518489025332238
412,09-03-2021,12.937194571039608,0.150293818,0.849706182,8.903951072,-3.333791085,0.526047376,-0.5010481905790125,0.44698570741207844
413,10-03-2021,13.05922547494232,0.143280115,0.856719885,8.979794491,0.528199818,0.577107766,0.07568053066601908,0.4944196989201269
414,11-03-2021,13.079839936244316,0.149235716,0.850764284,9.354440716,-0.257990011,-0.187980809,-0.03850132401243288,-0.15992735837462577
415,12-03-2021,13.105809108474778,0.118766414,0.881233586,9.115370134,-0.75222405,-0.29407265,-0.0893389529430567,-0.2591466959040229
416,13-03-2021,13.032532757353696,0.138222907,0.861777093,9.078407701,1.061737732,-0.108598041,0.14675647578862694,-0.09358730407847482
417,14-03-2021,12.80606232760387,0.145790971,0.854209029,8.356085031,-1.574614167,0.17226793,-0.22956452835728614,0.14715282121313997
418,15-03-2021,12.762767027454393,0.149827993,0.850172007,8.979416633,-0.493436326,0.156655243,-0.0739305743978737,0.1331839023483827
419,16-03-2021,13.055287239238435,0.14463552,0.85536448,8.64223868,0.76186966,0.439994792,0.11019341444632319,0.3763559164617882
420,17-03-2021,13.220583863610209,0.0,0.0,0.0,0.0,0.0,0.0,0.0
421,18-03-2021,13.206528039677078,0.0,0.0,0.0,0.0,0.0,0.0,0.0
422,19-03-2021,13.24346357186764,0.0,0.0,0.0,0.0,0.0,0.0,0.0
423,20-03-2021,13.125376832384612,0.0,0.0,0.0,0.0,0.0,0.0,0.0
424,21-03-2021,12.98749394714944,0.0,0.0,0.0,0.0,0.0,0.0,0.0
425,22-03-2021,12.939197464241843,0.0,0.0,0.0,0.0,0.0,0.0,0.0
426,23-03-2021,13.153602320815953,0.0,0.0,0.0,0.0,0.0,0.0,0.0
427,24-03-2021,13.36211701429191,0.0,0.0,0.0,0.0,0.0,0.0,0.0
428,25-03-2021,13.389932534425546,0.0,0.0,0.0,0.0,0.0,0.0,0.0
429,26-03-2021,13.373788021833434,0.130680279,0.869319721,7.194436851,-0.312138115,0.174903695,-0.04079029595473409,0.1520472313392691
430,27-03-2021,13.28077468215074,0.139758419,0.860241581,8.752581469,0.445420349,0.186049536,0.06225124376666823,0.16004754699295642
431,28-03-2021,13.071979143380382,0.14212465,0.85787535,9.015176707,1.018495569,0.178206992,0.14475332627067583,0.15287938563444722
432,29-03-2021,13.033805350422538,0.145012284,0.854987716,9.078179468,-0.460567032,-0.636692505,-0.06678787724542108,-0.5443642706442685
433,30-03-2021,13.253372341378906,0.149250946,0.850749054,9.004299729,0.636000415,-0.673574172,0.0949236635951426,-0.5730425896278333
434,31-03-2021,13.436736065109152,0.136197773,0.863802227,9.047350743,0.917949863,0.247143096,0.12502272706625508,0.2134827567124748
435,01-04-2021,13.478160536202385,0.176841946,0.823158054,8.976893928,0.953058882,-0.360435745,0.16854078734546438,-0.2966955864462402
436,02-04-2021,13.363808822634356,0.140678888,0.859321112,8.814479,0.548343851,-0.295518348,0.07714040320031769,-0.253945155419763
437,03-04-2021,13.183787679391328,0.148389664,0.851610336,8.830835366,0.548341851,0.200550146,0.08136826302702807,0.17079057721990906
438,04-04-2021,13.228696220198875,0.141315433,0.858684567,8.932476608,-1.605619922,0.377170957,-0.22689887451085622,0.3238708798965206
